purpose,bucket,n_segments,n_loans,ead_$M,r_lc,r_req,gap_bp,approx_gap_ci_low_bp,approx_gap_ci_high_bp,incremental_NII_$M
moving,Grow,3.0,1050.0,3.8418646,0.20592481625039372,0.16857102763798218,373.53788612411523,359.21844504746434,387.8573272007663,0.0
moving,Hold / Monitor,8.0,2591.0,20.2994126,0.1554668092310653,0.15297651662823625,24.90292602829049,7.988039796473861,41.817812260107125,0.0
moving,Reprice,2.0,2218.0,10.708140899999998,0.08903464780875134,0.107225948502729,-181.91300693977664,-187.7386019149359,-176.08741196461736,0.19479501098538055
other,Grow,11.0,36888.0,303.11089482,0.16403145643152434,0.13308104832446133,309.50408107063043,304.3038981464728,314.70426399478794,0.0
other,Hold / Monitor,2.0,14029.0,77.34851627,0.10430307521373047,0.10278699319563588,15.160820180946036,13.26219534558596,17.059445016306114,0.0
other,Reprice,1.0,10222.0,71.19361351,0.06964530628178575,0.08498202642490761,-153.36720143121858,-155.14614643486553,-151.58825642757168,1.0918765263804497
renewable_energy,Decline / Do not originate,2.0,20.0,0.14355957,0.2585812413724894,0.3388992269753819,-803.1798560289255,-884.1275077280183,-722.2322043298328,0.0
renewable_energy,Grow,2.0,97.0,0.8350890400000001,0.16196004318711735,0.1375776102764922,243.82432910625116,204.04412755511163,283.60453065739074,0.0
renewable_energy,Hold / Monitor,7.0,317.0,2.29023917,0.14131333709466537,0.13310376011355712,82.09576981108236,33.228983486848016,130.96255613531665,0.0
renewable_energy,Reprice,1.0,75.0,0.67364389,0.06806507793539993,0.08909247715450154,-210.27399219101613,-232.54678725937035,-188.00119712266195,0.014164979006538575
small_business,Decline / Do not originate,3.0,145.0,1.43756404,0.29179342666773694,0.3573581568950803,-655.647302273434,-703.9644618964687,-607.3301426503996,0.0
small_business,Grow,4.0,2444.0,41.05110894,0.15375221785532392,0.1381686702022285,155.83547653095383,143.86717557868872,167.80377748321902,0.0
small_business,Hold / Monitor,1.0,72.0,1.4274476100000002,0.07661832853339129,0.08209107171694066,-54.727431835493725,-64.3468214665116,-45.10804220447584,0.0
small_business,Reprice,6.0,6451.0,59.96510894,0.12706683252778536,0.14362097006914107,-165.54137541355752,-173.0466507000866,-158.0361001270284,0.9926706610751387
vacation,Grow,7.0,3303.0,14.827019779999999,0.16216855378843686,0.13721689974190804,249.51654046528807,233.14395553650536,265.8891253940708,0.0
vacation,Hold / Monitor,6.0,1904.0,6.30709261,0.11589714036177913,0.1169082618642922,-10.111215025130734,-21.589504996806873,1.3670749465454055,0.0
vacation,Reprice,1.0,1234.0,4.8559950800000005,0.07045660846125368,0.08929153240787387,-188.34923946620188,-193.5720000423781,-183.12647889002568,0.09146229801696183
wedding,Hold / Monitor,3.0,5.0,0.039172610000000004,0.1309012446548935,0.10641143750083315,244.8980715406036,132.61981270715813,357.1763303740491,0.0
